name,width,length,height,fLength_1,fLength_2,fLength_3,fLength_4,printTime
Acoustic Guitar Cooky Cutter,43,104,13,1.25,,,,31
Stegosaurus Pickholder,79,155,43,14.68,,,,315
Collapsing Jian,32,111,199,50.45,,,,1308
Fucktopus,56,59,32,2.86,,,,101
Moon Lamp,258,258,258,147.45,,,,6841
Earth Globe,57,57,57,9.05,1.41,13.95,0.31,770
Cathedral,47,60,63,7.19,0.97,0.18,0.02,237
Lizard,145,81,23,3.1,3.73,0.15,,180
Tree Frog,36,50,23,1.86,0.73,,,62
